@relation document_classify
@attribute class {technology, education, healthy}
@attribute keyword string
@data
technology,'a-series, a10, brazil, ca_thán, concept, diện_mạo, giả_thuyết, hậu_duệ, japan_display, khai_hỏa'
technology,'chùa, city_bridge, control_group, kios, linknyc, nguồn_gốc, nhập_nhằng, nyc, quy_đổi, sidewalk_labs'
technology,'android_apple, android_sony, bão_hòa, bản_sắc, còn_motorola, greg_noh, hao_hụt, hmc, hoàng_kim, htc_lg'
technology,'advantage, backend, bài_tập, bản_địa, bật_mí, chém, competitive, dò_dẫm, gia_sư, giải_đáp'
technology,'akg, bit/192, cứng_cáp, dac, dsd, dsd256, dual_guard, gậy, hầm_hố, khz'
technology,'american_civil_liberties_union, còi, công_chức, dân_chủ, eric_schmidt_hong_kong, gni, hitler, học_giả, iran, không_trung_quốc'
technology,'airbnb, app_store_google_store, apple_microsoft, bất_khả_xâm_phạm, bầu_trời, che_phủ, chuyển_mình, chí_mạng, cisco_systems, công_ty_mẹ'
technology,'5d, asphalt, beauty, c4, camera_chụp, chủ_thể, coloros, cát, dirac, e8'
technology,'amaya_daisuke, biển_hiệu, bóng_bàn, bộc_bạch, cave_story, chuyên_tâm, day_dứt, doujin, download, flappy_bird'
technology,'bay_area, berkeley, bám_trụ, carnegie_mellon, choáng_ngợp, chuồng, chạnh_lòng, dòng_chảy, dặm, giảng_đường'
technology,'arment, biện_minh, chuột, emarketer, ghê_tởm, goldman_sachs, iad, kleiner_perkins, marce_arment, mary_meeker'
technology,'android_web, b_amazon, buzzfeed_vox, bản_năng, bọt, chelsea, chris_cox, christophe, chuyên_viên, con_nghiện'
technology,'10/2014, athena, ban_ngành, bios, bloatware, công_an, công_văn, cưỡng_ép, cảnh_giác, hãng_lenovo'
technology,'artisan, bi_kịch, bphone_việt_nam, bán_cầu, chiếc_smartisan, căn_bệnh, cường_lực, engadget, iphoneb, li_jiao'
technology,'broadwell, broadwell-ep, card, cột, economic_daily_news, el_captian, facetime, haswell, huyết_áp, imac'
technology,'alljoyn, anonymous, bill_gates, bóc, bắt_cóc, chrome_internet_explorer, cấy, cầu_nguyện, edge_plus, giới_luật'
technology,'bạn_google, chatbot, chiến_địa, chiếu_rọi, chặt, hiểm_hoạ, hoàng_đế, internet_facebook, khinh_khí_cầu, la_mã'
technology,'apple_pay_apple_music, capital, constellation_research, credit_suisse, cầm_chừng, daniel_ives, fbr, holger_mueller, mueller, nhà_phân_tích'
technology,'báo_giới, courier, du_hành_vũ_trụ, gmail_google, google_earth, google_play_music_pandora, groove_music, kết_liễu, link_thời, messenger_thời'
technology,'al-qaeda, biểu_tình, bom_mìn, buyến, bạo_lực, bất_cập, bất_mãn, bắc_phi, chuyên_trách, chỉ_đạo'
technology,'36aq-cp/m, asean, attt, bưu_viễn, bầu_cử, chuyển_hóa, cải_cách, dân_cư, dân_sự, facebook_chiều'
technology,'., app_drawer, chữa_cháy, com/unlock, developer, global, google_installer, ips_lcd, miui, multilanguage'
technology,'angela_ahrendts, bản_vẽ, cbs, chủ_nghĩa, cửa_kính, dẫn_chương_trình, eddy_cue, graham_townsend, hình_mẫu, jeff_williams'
technology,'a_facebook, alexandra_solomon, alicia, an_ủi, arkansas, brave, bảo_toàn, bất_hòa, bực_bội, chuyên_trang'
technology,'bắt_gặp, ca_sỹ, concert, dương_khắc_linh, facbook, facebook_mỹ_tâm, ghế_ngồi, giây_phút, giải_toả, hiện_trường'
technology,'bóp_nghẹt, chìm_nghỉm, hkphone, infocus, khuếch_trương, microsoft_nokia, mobiistar, mặt_bằng, ngoài_bphone, nhồi_nhét'
technology,'bỏ_mạng, bởi_vì, chừa, con_chiên, cuốc_bộ, cách_ly, hồi_tưởng, hợp_cách, kickstarter, phục_tùng'
technology,'anh_ta, apple_jobs, apple_parental_woz, atari, byte_shop, bàn_thảo, cuối_steve_jobs, g_wayne, ham_thích, homebrew'
technology,'am_hiểu, báo_tử, bão_lũ, chính_quyền, chính_thức, coi_trọng, cơ_quan_hành_chính, hiện_trạng, hải_quan, hải_tổng'
technology,'alphabet_inc, android_google_apps, android_one, andy_rubin, bè_cánh, cha_mẹ, chơi_đùa, chức_danh, con_cái, cậu'
technology,'android_samsung_oppo, continum, cách_microsoft_việt_nam, có_mặt, cảm_tình, góp_ý, lumia_microsoft, lumia_microsoft_việt_nam, micorosoft, microsoft_việt_nam'
technology,'android_wear_google, bánh_răng, bản_sport, bộ_cánh, classic, classic_samsung, cua, cuộn, gear_fit, here_maps'
technology,'blinkfeed, boomsound, chiếm_dụng, cự_ly, dự_phòng, hyperlapse, khuyết_điểm, khéo, khựng, phay'
technology,'black_friday, chiếc_apple_watch, chỉ_điểm, còn_jawbone, deloitte, fitbit, fossil, garmin, jawbone, kỷ_luật'
technology,'amaze, android_nexus_one, beats_apple, brilliant, chacha, chết_yểu, còn_apple, cả_samsung_motorola, desire, flo'
technology,'anoto_live_pen, apple_watch_edition_đây, audiophile, backlight, bower, bowers, bước_đi, bản_lề, bọc, bức_xạ'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'chiếc_model, cnbc, compaq, consumer_reports, cớ, dragon_space, elon_musk_space, gigaom, giải_trình, halcyon_molecular'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'anthony_noto, bóng_bầu_dục, bất_thành, ceo_nom, che_giấu, căn_cứ, dan_snow, demand, dài_hơi, gặm_nhấm'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”'
technology,'chiết_khấu, cất_cánh, huawei_thẩm_quyến, ihs, italy_tây_ban_nha, joonsuh_kim, khuôn_mẫu, leica_camera, mathieu_lehaneur, ngần_ngại'
technology,'auctions_nhưng, benjamin_franklin, biến_hình, biết_đâu, bắt_nạt, bột, canada_mỹ, chán_ghét, di_trú, diếm'
technology,'12/2008, altavista, apple_steve_jobs, artstreiber/august, ashlee_vance, bỏ_lửng, cananda, chở, commodore, con_tạo'
technology,'apple_california, assembled, bloomberg_businessweek, bo_mạch_chủ, bài_thơ, bạo_động, bể_bơi, chối_bỏ, chối_cãi, console'
technology,'blur, boeing, bôi, cakes_cortana, chuyển_tải, chủng_tộc, cortana_intelligenec_suite, cups, demo, domina'
technology,'adweek, chiến_tuyến, chê_bai, dan_seifert_the_verge, doanh_lợi, dẫu_vậy, dị_bản, hàn_quốc_nếu, jamshed_avari, jim_edwards_business_insider_apple'
technology,'applied_ergonomics, biomechanics, chống_chế, công_cộng, của, dennerlein, jack_dennerlein_đại, khen_tặng, northeastenr, thumb_zone'
technology,'anick_jesdanun_indian_express, camera_camera, chirstina_warren_mashable_asia, chiều_hôm, clockspeed, fowler, geekbench, hầu_hết, independent, indian_express'
technology,'bitmoji, biệt_danh, bóng_rổ, emojie, fbchess, hiện_messenger, hiện_việt_nam, khất, messenger_trong, nhóm_việc'
technology,'amazon_facebook, andrew_cowie, android_bồ_đào_nha, aptoide, brussels, bất_kỳ, bỉ, david_paul_morris, european_pressphoto_agency, fairsearch'
technology,'baidu, baidu_tencent, chen_chân, cây_lá, cấm_cửa, cấm_vận, cục_trưởng, didi_kuaidi, dị_ứng, google_twitter'
technology,'1/4, adapter, apple_store, bộ_mặt, canh_bạc, carekit, chói, focus_pixel, giá_apple_watch, greg_joswiak'
technology,'a53, adaptive_display, alway_on, apps_edge, basic, bố_cục, ca_tụng, cinema, cortex, dual_pixel'
technology,'apple_thêm, camera_các, galaxy_samsung, hành_trang, ieienj, khi_apple, khuấy_đảo, mong_chờ, mẻ, ngòi_bút'
technology,'bóng_bảy, bắc_mỹ, ca_nhạc, chịu_chơi, counterpoint, công_lao, dần, eiichi_katayama, ghen_tị, girls_generation'
technology,'alphabet_đối_larry_page, brin_schmidt, bàn_luận, cfo, công_cuộc, giải_phóng, google_glass, google_larry_page_sergey_brin, google_sau, google_ventures'
technology,'bình_chánh, bắt_buộc, exynos_samsung, hiện_hà_nội, hn_tp_hcm, kim_cheol_gi, kim_chi, mưa_phùn, mẫu_galaxy, một_galaxy'
technology,'cam_plus, chủ_lực, cool, door-in-door, dẫn_động, g_signature, gem, giặt, innofest, inverter_dual'
technology,'anh_cả, bán_sỉ, bĩ, bơm, chân_vạc, con_bé, cả_oppo_việt_nam, dgw, digiworld_petrosetco, intex'
technology,'bàn_cờ, bàn_tán, báo_viết, bước_ngoặt, cai_trị, chiến_đấu, cuốn_hút, cách_mạng_công_nghiệp, công_nghệ_học, cựu'
technology,'bangalore, bãi, bơi_lội, bởi_uber, chiến_sự, doubleclick, hoảng_sợ, hybrid, indonesia, khi_uber'
technology,'alpha-beta, cpu_gpu, crazy_stone, câu_lệnh, cải_tạo, cục_diện, cửu, fan_hui, gary_kasparov, ghi_chép'
technology,'android_galaxy, ban_đêm, hưng_phấn, kim_cương, lcd_se, retina_flash, thẩm_mĩ, load, mồ_hôi, trùng'
technology,'apple_amazon, apple_news_accelerated_mobile_pages, báo_nói, bước_nhảy_vọt, chớp_mắt, chủ_ý, clip, cosmo_daily_mail, câu_chuyện, cổ_suý'
education,'bảng_đen, bến_bờ, bỗng, bụi, chiêm_bao, chòm, chăn_dắt, chắp_cánh, chồm, cài'
education,'autonomy, chủ_lực, liberté, marketting, mở_hà_nội, nguyễn_đình_hảo, phác_thảo, viện_đại, đà_lạt, đạị'
education,'bạt_ngàn, bột, cơm_gạo, hỡi, kiểm_nghiệm, linh_kiến_thụy, mọt, ngáo_ộp, ngữ_liệu, nhú'
education,'canada_ireland, các_câu, các_văn, hội_chợ, ii/2016, mông_cổ, mỗi_câu, phoenix_kontact_cộng, quan_hệ_sản_xuất, văn_đình_ưng'
education,'a_nation, american_historical_association_blog, asp, bbc, bbs, bowdoin, bắc_mỹ_châu_âu, canadian, cathy_gorn, chú_thích'
education,'accepted_credentials, brazil, bắc_kinh_đại, cape_town, châu_âu_mỹ_la, cnbc, enem, exam, follow, giúp_ích'
education,'abitur, alberta, american_college_test, bagrut, caf, cambriger, canada_york, central_admissions_office, ceu-di-lân/ceu-di-lân, chứng_tốt'
education,'ananiadou_claro, anderson, bryderup, challenges, charlotte, chicago, chấp_thuận, clinton, communication_technology, confronting'
education,'biến_dạng, chiến_thuật, chùi, chạy_đua_vũ_trang, chắp_nối, chế_tài, chỉnh_đốn, cây_cảnh, cường_độ, cầm_chừng'
education,'american_association, assessing, atcs_eu, atcs_naep, by, bình_diện, contributing, cải_biên, department, educational_communications'
education,'băt, chính_thể, cờ_đỏ_sao_vàng, dân_nghèo, hà_nội_quang_trung, hòa_tan, hòa_thượng, loài_người, ngoại_bang, nguyễn_thị_côi'
education,'a_european_reference, acquiring, analysis, apple_computer_inc, behalf, bellanca, binkley, books, capitalism, case'
education,'biên_cương, bom_đạn, bành_trướng, bôi_nhọ, bộ_binh, chiến_tranh_giải_phóng, chiến_trường, chuyên_trách, chất_độc_màu_da_cam, chẳng_lẽ'
education,'biến_chất, buông_lỏng, bốc_thăm, luật_hình, luật_tố, may_rủi, một_cách, nông_nghiệp_việt_nam, nương_nhẹ, quyết_toán'
education,'cãi_vã, khinh_rẻ, kẽ, nguy_hiểm, nguyên_mẫu, nọ_kia, đh”, buôn_bán, cưỡng_bức, giải_tỏa'
education,'a4, bằng_luật, bổ_túc, chu_cẩm_thơ, chuột, chế_hóa, chủ_quan, duy_ý_chí, dào, dệt_may_hà_nội'
education,'bâc, bênh_vực, bụt, chowng, các_vật, cụm_từ, cứu_tinh, gíc, hoành, hài_hước'
education,'bch_tw, biến_thiên, bôi_đen, bất_khả_xâm_phạm, bắn, bố_con, chia_rẽ, chiến_công, chung_đúc, chính_chính'
education,'biển_nha_trang, bà_mẹ, bé_ngân, bắt_bẻ, bể_bơi, bể_phốt, chưng_hửng, chịu_đựng, chớp_mắt, cò_kè'
education,'băng_cô, băng_cốc, c/ca, china, citizenship, competencies, critical, domains, entreprênu, eri-net'
education,'bùi_văn_ga, cùng, cầu_an, gỡ_rối, hòa_nhập, hôn_nhân, họchàng, họcngoài, kỳ_thị, nép'
education,'asianweek, bí_mật, bỏ_cuộc, chảy_máu, giáp_hạt, hoàng_văn_châu_hiệu, imperial_college_london, kaist, lập_pháp, ngô_thế_chi'
education,'arhentina, biến_cố, bán_đảo, bước_nhảy_vọt, bắc_triều, bề_ngoài, caat, cegep, chuyển_hướng, chỉ_california'
education,'anh_hùng, bản_ngã, bắt_gặp, bờm_xơm, chum, chung_khảo, chào_mào, chày, chèo_bẻo, chìm_lỉm'
education,'adolfer_hitler, avant-gardistes, batilla, biến_hóa, choi, chế_định, chủ_nghĩa_cộng_sản, chủ_nghĩa_phát_xít, chủ_nghĩa_quốc_gia, chủ_đích'
education,'bùi_trân_phương, che_đậy, chiêu_bài, chiếm_đoạt, chuyển_khoản, chxhcn, chối_bỏ, cổ_phần_hoá, họp_mặt, i-connect'
education,'bưu_điện, c220342, c320202, c320402, carnegie_mellon_university, cmu, cnkt, ctxd_cnkt_ctxd_dd_cn, d210403, d210404'
education,'bảo_lưu, cách_chức, giáng, hiệp_thương, luân_chuyển, luật_cán, miễn_nhiệm, phòng_nội, sông_hồng, thâm_niên'
education,'bacalaureat, bảo_ban, bậc_sơ, bậc_tiểu, canh_nông, charater, cho_anh, chuyên_chính, chơi_đùa, chỉ_định'
education,'chiếm_đóng, chu_trình, chú_trọng, dự_liệu, giờ_tổ, hao_mòn, khuôn_mẫu, khóa_trình, kính_yêu, nhiệt_tâm'
education,'biologie, chào_đời, chân_đốt, chủng_tộc, di_truyền, dương_xỉ, dự_đại, dự_định, gd_đt, hoá_sinh'
education,'binh_lính, chùm, câu_kéo, cứu_thương, dồn, giao_dịch, hải_dương_hải_phòng, kinh_tế_học, kê_khai, lướt_sóng'
education,'khán_giả, lưy, nguyễn_ngọc_chu, sao_la, tuê, vi_ba, đua_tranh, bơm, nhuâ, phă'
education,'buổi/ngày, bóng_đá, cầu_lông, dòng_tộc, gd_cơ_bản, hình_học, kèm_cặp, lớp_lớp, mặt_phẳng, nhảy_xa'
education,'chuyển_phát, các_nhà, công_binh, d02, d04, hàng_không, hậu_cần, không_quân, lục_quân, miền_bắc'
education,'a3, bách_khoa_hồ_chí_minh, bưu_viễn, bạc_liêu_đợt, c00, cao_văn, chững, công_cộng, cũng_ông_xuân_anh, cảnh_sát'
education,'bao_vây, bản_kéo, clip, cằm, di_chứng, e…, giằng_co, him_lam, hồ_chủ_tịch, hội_giáo'
education,'báo_giới, bệnh_tật, bổ_ngữ, chiếc, châm_chước, chấn_chỉnh, chẻ, cà_lăm, cá_mập, câu_đầu'
education,'assurance, bang_california, berkeley, bắc_kinh_thanh_hoa, california_state_university, csu, degree, do_nghị, dưới, efficiency'
education,'14/2015q-cp/m, 29q-tw/29q-tw, 29q-tw/m, khuếch_đại, lâm_quan_thiệp, lê_quý_đôn, lập_thân, nghệp, nq29, profestional'
education,'ammattikorkeakoulu, ammattikoulu, applied, bí_quyết, comprehensive, core, các_tiểu, cònammattikorkeakoulu, educational_change, finland'
education,'bùi_trân_phượng_trường_đại, bẳng, chế_độ_dân_chủ, câu_việt_nam, khai_sinh, khẳnh, láchb, lãi, lãi_suất, nhĩ_việt_nam'
education,'14/2005q-cp/14/2005q-cp, bureaucratic, chỉ_hội, còn_hội, công_hội, cải_tổ, do_hội, governors, hierachical, hierarchical'
education,'ba_mươi, c_điê, chứ, giả, hoạ, hộ, hợ, i_chí, i_sả, i_thế'
education,'bẩm, etcs, khó_khăn, lầng, lựạ, master_plan, ngànhđào, nành, outcome, thuẩn'
education,'họat_động, nhiêm, q1, q3, qtl, qtl_q3, qũy, tiền_công, trở_lại, tếp'
education,'abet, accreditation_board, aun, bio-rad, bio-trak, bảo_toàn, con_dấu, cuả, cybermetrics_lab, các_đại'
education,'chê_cười, chìa_khoá, cá_biệt, cậu_bé, dụng_cụ, hệ_tư_tưởng, học_giới, học_quan, lý_do, nay_ths'
education,'a5, adamkhoo, ban_ơn, bỏ_rơi, chuyên_nguyễn_tất_thành, chúng_em, covey, doãn_kiến_lợi, hữu_dụng, khăn_gói'
education,'bgdđt, bí_thư_đảng, bùi_anh_tuấn, bảo_kê, bồi_thường, chỉ_phó_thủ, do_giang, dứt_điểm, giang_bộ, giang_uỷ'
education,'classifying_national_education_programs, dẳng, luật_giaó, miễn_trừ, operation_manual_guideline, original, related, unessco-uis, văn_tiến, đun'
education,'chỉ_ban, giám_thị, huấn_luyện_viên, hội_tâm, kén_chọn, lương_thế_vinh, mackeno, mày_mò, mệnh_lệnh, nguyễn_tùng_lâm'
education,'an_định, buốc, bình_thuận, bình_định, bòng_bong, bùi_bá_xương, bút_nghiên, bắc_kỳ, bồng_trung, bực_tức'
education,'anglo-saxon, batalova, becker, bôlônhơ, canađa_oxtrâylia, chi_nhánh, chân_tài, chấu, chịch, cầu_tài'
education,'bàn_định, cám_ơn, công_hiệp, cũng_hiệp, hội_ý, nguyễn_đăng_khoa, như_vậy, tiếng_nói, trong_hiệp_phó_thủ, tầm_vóc'
education,'alicon_richard, arwu, caltech, châu_lục, forbes, fortune, havard, lomonoxop_nga, lọt_top, nga_putin'
education,'asean_tpp, bao_biện, bước_đường, kinh_tế_tp, liên_doanh, loại_trừ, ngốn, phap, phía_bộ_giáo, phạm_vũ_luận_phó_thủ'
education,'bánh_xe, báo_infonet, bận, bắt_mắt, chỉnh_lý, cua, dấu_phẩy, học”, hồ_ngọc_đại_trung, luật_xuất'
education,'baobacninh, baomoi, bảng_biểu, chế_phẩm, chủ_tài_khoản, chứng_nhận, comhieu-bat-ngo-thu-vi-tai-cuoc-thi-khkt-nam-2015/c/16122871/m, của, cứu_hỏa, dantri'
education,'15/2/2016, 2/1, bản_sao, bất_động_sản, d07, h , hồng_đức, môntoán, nam_cần_thơ, nguyễn_trãi'
education,'austin, australia_new_zealand, azerbaijan, broward_college, broward_college_việt_nam, buôn_lậu, bàn_tán, băng_đảng, bệnh_dịch, chaos'
education,'altbach, biệt_lập, bá_chủ, bất_bình_đẳng, bất_hòa, bắc_việt_nam, cai_trị, cannoy, carnoy, chíến'
education,'bình_bầu, chuyên_quyền, chạy_chọt, hám_lợi, hải_đảo, non_yếu, nề_hà, nể_nang, nể_trọng, quan_trường'
education,'bó_hẹp, data, di_dời, hà_nam, lưu_trữ, mắt_xích, nguyễn_thị_kim_phụng, quyền_vụ, toàn_văn, tán_thành'
education,'chung_quanh, cán_sự, cảnh_việt_nam, cồng, khai_thông, massachusetts, một_phần_ba, ngắt, thồng, trần_đức_cảnh'
education,'biến_mất, chìa_khóa, hoàng_ngọc_vinh, mặt_nước, một_chiều, như_thể, pathways, thcs_pv, thcs…, điều_chỉnh'
education,'lê_văn_hảo, nguyễn_minh_khôi, nguyễn_phương_nga, phạm_thị_ly, quan_sát_viên, ưu-nhượcb, bóng_dáng, công_chứng, giao_thoa, viện_đào'
education,'công_nông_nghiệp, khởi_sắc, kinh_công, một_phần_tư, ngăn_ngừa, ngản, nhìn_xa_trông_rộng, phòng_ốc, quy_hàng, rơi_rụng'
education,'bàn_ghế, bình_chọn, bùi_mạnh_nhị, bạo_hành, bảo_mẫu, chánh_văn_phòng, chót, chọi, cột_sống, doãn_minh_đăng'
education,'bác_ái, bóc_lột, câu_phó_thủ, câu_thúc, danh_giá, day_dứt, ghi_chép, ivan_hannel, khởi_nghiệp, kích_hoạt'
education,'ba_tơ, ca_thán, e-learning, ghi_điểm, làm_quen, lê_văn_lai, nguyễn_thị_lê_minh, phạm_xuân_tiến, thầy_ngô_văn_hải, trong_suốt'
education,'affodable_higher_education, công_tư, phí_phù_hợp, phí_thấp, qahe, triệu/năm, triệu/tháng, trường_công, trở_nghị, tây_âu'
education,'bỏng, chủ_điểm, chữ_cái, chữ_việt, cách_âm, cơ_bắp, cấu_thành, học_mẫu, khoanh_vùng, kiên_trì'
education,'chính_ngân, howard_gardner, hưởng_thụ, hạt_giống, khi_chương, như_dự, nhịp_điệu, nội_tâm, phạm_ngọc_định, piaget'
education,'bàn_tính, chủ_nghĩa_thực_dân, giơnever, hoàng_phương, môi_trường_sinh_thái, mộy, nhưng_hiển, niên_đại, phép_biện_chứng, phó_vụ'
education,'bchtw, bàn_thảo, bọc, chưa, con_lạc_cháu_hồng, cơ_sở_hạ_tầng, hoàngngọc, hànhb, hội_kinh, khuyếch'
education,'a*, alevel, baccalaureate, bahasa_indonesia, bahasa_indonesia_tôn, bahasa_malaysia, bcg, boston_consulting, british_university_vietnam, catholics'
education,'19q-cp/m, biểu_lộ, chỉ_đạo, gdnn, luật_dân_sự, luật_gíao, nhóm_bộ, nq-19, níu_kéo, phân_tâm'
education,'academic_ranking, bao_hàm, bosnia_herzegovina, bản_tính, bảo_mật, chứng_cứ, công_ước, cường_quyền, cội_rễ, e_sợ'
education,'bưng_bít, bất_di_bất_dịch, bấy_lâu_nay, bỏ_phiếu, che_lấp, chính_trị_học, chế_độ_tư_hữu, chủ_tọa, chữ_dũng, dứt_khoát'
education,'ba_vì, bệnh_viện, bịt, bồn_cầu, cao_nguyên, con_bé, công_trình_phụ, giun_sán, giáo_dục_việt_nam, giúp_sức'
education,'1đến, bậc_khung, bằng_ccao, bằng_cử, bằng_nghề, bằng_thạc, bằng_tiến, bằng_trung, chuyên_khoa, chứng_nghề'
education,'alexandre, chung_sống, chắt_lọc, chủ-vị, chứng_bệnh, cung_cách, cánh_buồm, cú_pháp, cú_pháp_học, cảm_thụ'
education,'biến_dị, cam_ranh, chồng_lấn, chửa, chửi_thề, cơ_thể, cầu_thang, diện_mạo, dung_nạp, dính_dáng'
education,'chiến_tranh_phá_hoại, công_tâm, cơ_duyên, huyện_ủy, hàmb, hòa_vang, hưng_yên, hợp_tác_xã, kiên_cường, luận_án'
education,'ba_lan, ban_đêm, biệt_thự, bàn_thờ, bùi_anh_thồn, bắc_trung_nam, bếp, bịa, bốc_phét, cao_điểm'
education,'academic/university, công_nghệ_cao, gọi_vốn, nước_rút, professsional, technological_education, thoả_mãn, vừa_hiệp, 05/2005q-cp/m, 14/2005q-cp/m'
education,'bách_khoa_anh_hoàng_xuân_hiến, cam_đoan, chinh_chiến, chuyên_tâm, chóng_mặt, chăn_nuôi, chạy_ngược_chạy_xuôi, chằng, con_cái, cày_cuốc'
education,'beri, business_enviroment_risk_intelligence, hiện_đại_hoá, postsecondary_education, tw8, wb, x_xi, đạng, định_chuẩn, australia'
education,'bùi_quang_tuyến, bùi_quang_tuyến_võ_đăng_bình, bỏ_ngỏ, chấtlà, cán_cân, cầu_viện, dẫn_chương_trình, hạn_định, nhòe, nội_lực'
education,'cấp_tiểu, dân_tộc_học, khôi_phục, khảo_cổ_học, lo_âu, lãnh_hải, lưu_hành, mặt_hội, quảng_ninh, thềm_lục_địa'
education,'anh_ấy, bùi_đức_thụ, cao_sỹ_kiêm, chân_lý_tương_đối, cào, cờ_tướng, cụ_thể_hoá, dân_việt, fta, giao_phó'
