@relation document_classify
@attribute class {technology, education, healthy}
@attribute keyword string
@data
technology,'android_apple, android_sony, bão_hòa, bản_sắc, còn_motorola, greg_noh, hao_hụt, hmc, hoàng_kim, htc_lg, hyun, hồi_sinh, knox, koh_dong_jin, kwon_oh, lee_jae_yong, lee_kun_hee, lĩnh_xướng, may_mắn, một_samsung'
technology,'advantage, backend, bài_tập, bản_địa, bật_mí, chém, competitive, dò_dẫm, gia_sư, giải_đáp, google_ad, gotit, học_thuật, iowa, là_việt, mong_muốn, mỹ_hà_nội, nhóm_việt_nam, phép_tính, quỹ_đạo'
technology,'akg, bit/192, cứng_cáp, dac, dsd, dsd256, dual_guard, gậy, hầm_hố, khz, lg_v1, mhz, mạch_lạc, nam_giới, ngang_dọc, phái_mạnh, quân_đội, sarbe, technology, tinh_chỉnh'
technology,'american_civil_liberties_union, còi, công_chức, dân_chủ, eric_schmidt_hong_kong, gni, hitler, học_giả, iran, không_trung_quốc, khơi_gợi, kinnon, kích_động, lee_rowland, mackinnon, new_america, ngay_thổ_nhĩ_kỳ_nga, ngồi_tù, nhân_quyền, như_anh'
technology,'airbnb, app_store_google_store, apple_microsoft, bất_khả_xâm_phạm, bầu_trời, che_phủ, chuyển_mình, chí_mạng, cisco_systems, công_ty_mẹ, cứ_alibaba, david_curry, drone, dệt, dự_luật, giông_bão, intel_oracle, kẻ_thù, la_ó, lo_âu'
technology,'5d, asphalt, beauty, c4, camera_chụp, chủ_thể, coloros, cát, dirac, e8, mưa_gió, oppo_f1, plants, r7, vs, zenfone, zircon, zombies, đón_nhận, adreno'
technology,'amaya_daisuke, biển_hiệu, bóng_bàn, bộc_bạch, cave_story, chuyên_tâm, day_dứt, doujin, download, flappy_bird, ganh_đua, garage, gears, giải_nghĩa, hà_đông, hình_khối, họa_sĩ, indie, khâm_phục, khó_khăn'
technology,'bay_area, berkeley, bám_trụ, carnegie_mellon, choáng_ngợp, chuồng, chạnh_lòng, dòng_chảy, dặm, giảng_đường, hạn_hán, khao_khát, khát_khao, mơ_tưởng, nghỉ_ngơi, những_apple, nuôi_dạy, nẩy_nở, palo_alto, quán_ăn'
technology,'arment, biện_minh, chuột, emarketer, ghê_tởm, goldman_sachs, iad, kleiner_perkins, marce_arment, mary_meeker, mời_gọi, mỹ_anh_quốc, napster, nhà_sản_xuất, nhà_xuất_bản, như_washington_post, nhờ_cậy, pagefair, pháp_luật, sean_blanchfield'
technology,'android_web, b_amazon, buzzfeed_vox, bản_năng, bọt, chelsea, chris_cox, christophe, chuyên_viên, con_nghiện, cỏ, cổ_vũ, doán, eulenstein, facebook_menlo_park, facebook_mỗi, frank_gehry, gốc_rễ, gộp, hy_sinh'
technology,'10/2014, athena, ban_ngành, bios, bloatware, công_an, công_văn, cưỡng_ép, cảnh_giác, hãng_lenovo, hải_phòng, lenovo_service_engine, lenovo_services_engine, lse_bios, lse”, lây_nhiễm, mwpbt, nguyễn_hồng_phúc, nhẽ, nhị_phân'
technology,'artisan, bi_kịch, bphone_việt_nam, bán_cầu, chiếc_smartisan, căn_bệnh, cường_lực, engadget, iphoneb, li_jiao, luo, luo_yonghao, mất_lòng, nguyễn_tử_quảng, nhân_dân_tệ, nội_địa, siemens, smartisan, smilling_cloud, sự_cố'
technology,'broadwell, broadwell-ep, card, cột, economic_daily_news, el_captian, facetime, haswell, huyết_áp, imac, ip7x, israel_linx, kì_vọng, mac_mini, nếu_apple, pad_air, pro_retina, samsung_galaxy_tab, skylake, skylake_mac'
technology,'alljoyn, anonymous, bill_gates, bóc, bắt_cóc, chrome_internet_explorer, cấy, cầu_nguyện, edge_plus, giới_luật, hashtagb, hình_bóng, international_medical_corp, iotivity, nepal, nằm_mơ, nội_chiến, peaceofparis, phát_huy, portouverte'
technology,'bạn_google, chatbot, chiến_địa, chiếu_rọi, chặt, hiểm_hoạ, hoàng_đế, internet_facebook, khinh_khí_cầu, la_mã, like_facebook, magic_leap, ngay_la_mã, nghiền_ngẫm, nguyện_cầu, ngóc_ngách, thành_lũy, tung_hô, tái_lập, viễn_chinh'
technology,'apple_pay_apple_music, capital, constellation_research, credit_suisse, cầm_chừng, daniel_ives, fbr, holger_mueller, mueller, nhà_phân_tích, phảm, thấm, type, usd/cổ, video_ngoài, đa_dạng_hóa, bất_chấp, bứt_phá, chipset, chiến_mã'
technology,'báo_giới, courier, du_hành_vũ_trụ, gmail_google, google_earth, google_play_music_pandora, groove_music, kết_liễu, link_thời, messenger_thời, microsoft_bob, microsoft_bob_thời, microsoft_courier_thời, microsoft_mail, microsoft_mail_thời, microsoft_portrait_thời, msn, msn_tv, networks, outlook'
technology,'al-qaeda, biểu_tình, bom_mìn, buyến, bạo_lực, bất_cập, bất_mãn, bắc_phi, chuyên_trách, chỉ_đạo, chống_phá, diễn_tập, dân_tộc, hiệp_đồng, hoang_mang, hobart, huấn_luyện, học_viên, hồng_kong, hội_nhập'
technology,'36aq-cp/m, asean, attt, bưu_viễn, bầu_cử, chuyển_hóa, cải_cách, dân_cư, dân_sự, facebook_chiều, giấy_phép, google_việt_nam, google_việt_nam_ngày, hoàn_tất, long_điền, luật_an, luật_viễn, mobifone, mocha, mặt_đất'
technology,'., app_drawer, chữa_cháy, com/unlock, developer, global, google_installer, ips_lcd, miui, multilanguage, myanmar, nhạt_nhòa, quên_lãng, redmi, redmi_note, rom_miui, s820, samsung_sony, stable, việt_nam_hầu'
technology,'angela_ahrendts, bản_vẽ, cbs, chủ_nghĩa, cửa_kính, dẫn_chương_trình, eddy_cue, graham_townsend, hình_mẫu, jeff_williams, kíp, lãnh_địa, lảng_tránh, lồng_ghép, macintosh, máy_tính_xách_tay, mỹ_trung_quốc, ngân_sách, phạm_trù, talkshow'
technology,'a_facebook, alexandra_solomon, alicia, an_ủi, arkansas, brave, bảo_toàn, bất_hòa, bực_bội, chuyên_trang, chúc_mừng, chẹp, chồng_con, cạm_bẫy, cảm_hoài, cởi_mở, dâu, facebook_các, facebook_facebook, fayetteville'
technology,'bắt_gặp, ca_sỹ, concert, dương_khắc_linh, facbook, facebook_mỹ_tâm, ghế_ngồi, giây_phút, giải_toả, hiện_trường, hoạ_mi, họp_mặt, khi_facebook, khởi_my_noo_phước_thịnh, liveshow, lấn_lướt, minh_định, mỹ_tâm, mỹ_tâm_khởi_my, nbn'
technology,'bóp_nghẹt, chìm_nghỉm, hkphone, infocus, khuếch_trương, microsoft_nokia, mobiistar, mặt_bằng, ngoài_bphone, nhồi_nhét, những_lumia, nokia_lumia, phần_lan, q-mobile, rovi, smartphone_trung_quốc, video_sức, việt_nam_người, với_microsoft, yêu_mến'
technology,'bỏ_mạng, bởi_vì, chừa, con_chiên, cuốc_bộ, cách_ly, hồi_tưởng, hợp_cách, kickstarter, phục_tùng, rác_rưởi, sottek, thú_nhận, tách_biệt, video_có, yêu_quý, đương_đầu, ẩn_dật, bạn_hàng, bỏ_rơi'
technology,'anh_ta, apple_jobs, apple_parental_woz, atari, byte_shop, bàn_thảo, cuối_steve_jobs, g_wayne, ham_thích, homebrew, hối_hận, jobs_wayne, jobs_wozniak, khi_steve_jobs, khyên, ký_tên, las_vegas, lego, mê_mải, nevada'
technology,'am_hiểu, báo_tử, bão_lũ, chính_quyền, chính_thức, coi_trọng, cơ_quan_hành_chính, hiện_trạng, hải_quan, hải_tổng, hộ_tịch, khai_sinh, kê_khai, liên_chiểu, lúi_húi, phòng_dịch, rõ, thcs, thấp_thỏm, tiêm_chủng'
technology,'alphabet_inc, android_google_apps, android_one, andy_rubin, bè_cánh, cha_mẹ, chơi_đùa, chức_danh, con_cái, cậu, dành_dụm, google_apps, google_chrome, google_hà_nội, google_toolbar, hàn_quốc_larry_page_google, jason_goldman, kharagpur, luyện_kim, mọt_sách'
technology,'android_samsung_oppo, continum, cách_microsoft_việt_nam, có_mặt, cảm_tình, góp_ý, lumia_microsoft, lumia_microsoft_việt_nam, micorosoft, microsoft_việt_nam, mỹ_asus, ngấm, những_microsoft, nokia_microsoft, nokia_việt_nam, nữ_tướng, peter_gail, powerpoint, thái_bình_dương_microsoft, tia_sáng'
technology,'android_wear_google, bánh_răng, bản_sport, bộ_cánh, classic, classic_samsung, cua, cuộn, gear_fit, here_maps, khoác, liếc, menu, nhưng_samsung, nữ_tính, pebble_round, plug, reset, smarwatch, store_việt_nam'
technology,'blinkfeed, boomsound, chiếm_dụng, cự_ly, dự_phòng, hyperlapse, khuyết_điểm, khéo, khựng, phay, răng_cưa, tiếp_giáp, trên_one, vứt, ăn_thua, 5s, ghi_điểm, khay, m8, quad'
technology,'black_friday, chiếc_apple_watch, chỉ_điểm, còn_jawbone, deloitte, fitbit, fossil, garmin, jawbone, kỷ_luật, misfit, nguyền, paul_lee, quantified, tv_pc, tăngb, up3, vóc_dáng, định_lượng, bình_ổn'
technology,'amaze, android_nexus_one, beats_apple, brilliant, chacha, chết_yểu, còn_apple, cả_samsung_motorola, desire, flo, g1, găng, high_tech_computer, incredible, khẩu_hiệu, lan_tỏa, m7, motorola_samsung, onlive, palm_treo'
technology,'anoto_live_pen, apple_watch_edition_đây, audiophile, backlight, bower, bowers, bước_đi, bản_lề, bọc, bức_xạ, case, chuông, chât, chùn, con_quay, connected, cách_điệu, d3, da_bò, diamond'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'chiếc_model, cnbc, compaq, consumer_reports, cớ, dragon_space, elon_musk_space, gigaom, giải_trình, halcyon_molecular, hawthorne, hòa_trộn, học_tập, kết_cục, los_angeles, lydon_peter_rive, motherboard, roadster, san_francisco_los_angeles, solarcity'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'anthony_noto, bóng_bầu_dục, bất_thành, ceo_nom, che_giấu, căn_cứ, dan_snow, demand, dài_hơi, gặm_nhấm, karunamurthy, khác_twitter, live_streaming, live_video, live_video_facebook, live_video_facebook_instagram, liverail, msqrd, nfl, nẫng'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'4g, bước_đầu, bất_kì, cdma, circuit-switching, dẫn_truyền, gbps, gsm, gưi, g”, khi_liên, kiểm_chứng, long_term_evolution, lte_lte, lte , lte”, lãnh_thổ, mbps, mimo, mobile_wi'
technology,'chiết_khấu, cất_cánh, huawei_thẩm_quyến, ihs, italy_tây_ban_nha, joonsuh_kim, khuôn_mẫu, leica_camera, mathieu_lehaneur, ngần_ngại, nhưng_ren, nấc, nụ_cười, p8, p9, ren_zhengfei, richard_yu, thang, the_wall_street_journal, thu_milan'
technology,'auctions_nhưng, benjamin_franklin, biến_hình, biết_đâu, bắt_nạt, bột, canada_mỹ, chán_ghét, di_trú, diếm, dị_nhân, elon_musk_mỹ, elon_musk_quora, giant_freakin_robot, giả_tưởng, giận_dỗi, gq, hoành_hành, isaacson, james_bond'
technology,'12/2008, altavista, apple_steve_jobs, artstreiber/august, ashlee_vance, bỏ_lửng, cananda, chở, commodore, con_tạo, cách_mạng_hóa, dambr, diệt_vong, elon_mush, elon_musk_bloomberg, elon_musk_iron, elon_musk_paypal, henry_ford_john, hóa_thạch, hạ_cánh'
technology,'apple_california, assembled, bloomberg_businessweek, bo_mạch_chủ, bài_thơ, bạo_động, bể_bơi, chối_bỏ, chối_cãi, console, công_đoàn, cảnh_sát, cộng_hòa, designed, foxconn_thành_đô, foxconn_trung_quốc, giăng, guo, hiện_foxconn, hon_hai_precision_industry_co'
technology,'blur, boeing, bôi, cakes_cortana, chuyển_tải, chủng_tộc, cortana_intelligenec_suite, cups, demo, domina, electronic_flight_bag, empire, galaxy_explorer, gọt_giũa, hiện_thời, hoặc_cortana, ii_hd, just_eat, khách_sạn, linux'
technology,'adweek, chiến_tuyến, chê_bai, dan_seifert_the_verge, doanh_lợi, dẫu_vậy, dị_bản, hàn_quốc_nếu, jamshed_avari, jim_edwards_business_insider_apple, lance_ulanoff_mashable, lẩn_quẩn, nhào_nặn, note_edge, nín, nối_tiếp, reo_hò, s-pen, suy_xét, thầy'
technology,'applied_ergonomics, biomechanics, chống_chế, công_cộng, của, dennerlein, jack_dennerlein_đại, khen_tặng, northeastenr, thumb_zone, tuện, tư_thế, tứ_giác, vòng_cung, đài_bắc, đại_học_kyushu_nhật_bản, đại_học_kyushu_nhật_bản_các, chế_giễu, harvard, khớp'
technology,'anick_jesdanun_indian_express, camera_camera, chirstina_warren_mashable_asia, chiều_hôm, clockspeed, fowler, geekbench, hầu_hết, independent, indian_express, lauren_goode, nicole_nguyen_telegraph, rhiannon_williams_the_telegraph, rút_gọn, trong_david_pogue, tổng_kết, tờ_mashable, uk , yahoo_tech, điểm_trang'
technology,'bitmoji, biệt_danh, bóng_rổ, emojie, fbchess, hiện_messenger, hiện_việt_nam, khất, messenger_trong, nhóm_việc, photoshop, sticker, thẻ_ghi_nợ, tùy_ý, uber_lyft, uberx, video_facebook_messenger, vận_tải, gif, giúp_ích'
technology,'amazon_facebook, andrew_cowie, android_bồ_đào_nha, aptoide, brussels, bất_kỳ, bỉ, david_paul_morris, european_pressphoto_agency, fairsearch, gartner, getty_images, hình_phạt, hội_kiến, ireland, justin_sullivan, luật_sư, margrethe_vestager, mark_jansen, nghi_vấn'
technology,'baidu, baidu_tencent, chen_chân, cây_lá, cấm_cửa, cấm_vận, cục_trưởng, didi_kuaidi, dị_ứng, google_twitter, hoạch_định, internet_plus, khuôn_khổ, khán_phòng, khẩu_trang, liu_wen, liên_doanh, liệu_facebook, lý_khắc_cường, lưu_vân_sơn'
technology,'1/4, adapter, apple_store, bộ_mặt, canh_bạc, carekit, chói, focus_pixel, giá_apple_watch, greg_joswiak, gờm, hennessy_reuters, infinite_loop, keynote, khánh_thành, lives_photo, lễ, mượn, oxide, pad_apple_kết'
technology,'a53, adaptive_display, alway_on, apps_edge, basic, bố_cục, ca_tụng, cinema, cortex, dual_pixel, dựa_dẫm, exynos_việt_nam, glance, kiệt_tác, làm_nếu, lệch, mali, mongoose_samsung, mp12, một_chút'
technology,'apple_thêm, camera_các, galaxy_samsung, hành_trang, ieienj, khi_apple, khuấy_đảo, mong_chờ, mẻ, ngòi_bút, người_mỹ, rục_rịch, sức_mua, thở_dài, touch_chưa, troy_về, trực_tiếp, tất_nhiên, video_theo, xoay_xở'
technology,'bóng_bảy, bắc_mỹ, ca_nhạc, chịu_chơi, counterpoint, công_lao, dần, eiichi_katayama, ghen_tị, girls_generation, giá_cạnh_tranh, giờ_nhật, giờ_nhật_bản, gửi_gắm, hàn_quốc_samsung, hàn_quốc_trung_quốc, hấp_hối, ivy_jiang, jiang, jvc'
technology,'alphabet_đối_larry_page, brin_schmidt, bàn_luận, cfo, công_cuộc, giải_phóng, google_glass, google_larry_page_sergey_brin, google_sau, google_ventures, goole, kế_nhiệm, lary, ngựa_ô, patrick_pichette, pichette, quyết_sách, quyền_hành, rưỡi, sergey_brin_eric_schmidt'
technology,'bình_chánh, bắt_buộc, exynos_samsung, hiện_hà_nội, hn_tp_hcm, kim_cheol_gi, kim_chi, mưa_phùn, mẫu_galaxy, một_galaxy, nguyễn_quang_hiền_huy, phan_dũng, phạm_bá_hùng, s_samsung, samsung_oculus_facebook, samsung_vina, samsung_zing, song_song, thấp_điểm, tiếp_tế'
technology,'cam_plus, chủ_lực, cool, door-in-door, dẫn_động, g_signature, gem, giặt, innofest, inverter_dual, khuẩn, kim_young, lọc_khí, muỗi, máy_giặt, oled_tv, rolling_bot, signature_việt_nam, tech_show, tháo_lắp'
technology,'anh_cả, bán_sỉ, bĩ, bơm, chân_vạc, con_bé, cả_oppo_việt_nam, dgw, digiworld_petrosetco, intex, mai_nguyên, mai_triều_nguyên, ngoài_apple, nguyễn_kim, oppo_việt_nam, oppo_đài_loan, pantech, petrosetco, phtd, psd'
technology,'bàn_cờ, bàn_tán, báo_viết, bước_ngoặt, cai_trị, chiến_đấu, cuốn_hút, cách_mạng_công_nghiệp, công_nghệ_học, cựu, garry_kassparo, gogameguru_hôm, gogameguru_mặc, gogameguru_sau, google_trung_quốc_kaifu_lee, gỡ_gạc, học_hỏi, kaifu_lee, khoa_học_kỹ_thuật, khoa_học_nhân_văn'
technology,'bangalore, bãi, bơi_lội, bởi_uber, chiến_sự, doubleclick, hoảng_sợ, hybrid, indonesia, khi_uber, kẹo, letung, lênh_đênh, malaysia, maryland, nhập_cư, phù_du, silicon_graphics, taxi, techinasia'
technology,'alpha-beta, cpu_gpu, crazy_stone, câu_lệnh, cải_tạo, cục_diện, cửu, fan_hui, gary_kasparov, ghi_chép, google_photos, heuristic, jtbc, leo, lời_giải, masaki_takemiya, mèo, newsroom, pruning, rôbốt'
technology,'android_galaxy, ban_đêm, hưng_phấn, kim_cương, lcd_se, retina_flash, thẩm_mĩ, load, mồ_hôi, trùng, bắt_nét, khác_biệt, khẩu_độ, live_photos, lướt, panorama, phương_diện, quen_thuộc, tuổi_đời, hình_phẳng'
technology,'apple_amazon, apple_news_accelerated_mobile_pages, báo_nói, bước_nhảy_vọt, chớp_mắt, chủ_ý, clip, cosmo_daily_mail, câu_chuyện, cổ_suý, cửa_mở, discover_snapchat_instant_articles_facebook, dụ_dỗ, gifs, hệ_tư_tưởng, hồi_phục, instant_articles, instant_articles_facebook, khép, khải_huyền'
education,'bảng_đen, bến_bờ, bỗng, bụi, chiêm_bao, chòm, chăn_dắt, chắp_cánh, chồm, cài, cành, cây_bóng_mát, cơ_đồ, cười_duyên, cảm_tạ, cừu, dòng_sông, dạy_bảo, dấu_yêu, dầu_dãi'
education,'autonomy, chủ_lực, liberté, marketting, mở_hà_nội, nguyễn_đình_hảo, phác_thảo, viện_đại, đà_lạt, đạị, accountability, lãnh_vực, phân_tán, chăng, cấp_phát, cởi, liên_hiệp, sơ_kết, trình_tự, tôn_đức_thắng'
